id,name,symbol,slug,cmcRank,marketPairCount,circulatingSupply,selfReportedCirculatingSupply,totalSupply,ath,atl,high24h,low24h,isActive,lastUpdated,dateAdded,scrape_date
3897,OKB,OKB,okb,76,63,60000000.0,0.0,300000000.0,44.16908536,1.25311487482,20.21599773041595,19.403295627305607,1,2022-04-15T16:49:00.000Z,2019-04-30T00:00:00.000Z,2022-04-16
1934,Loopring,LRC,loopring,77,199,1329675414.1492386,0.0,1373873440.4424574,3.827154981643715,0.019860698096,0.9031246452236966,0.872350220295639,1,2022-04-15T16:49:00.000Z,2017-08-30T00:00:00.000Z,2022-04-16
131,Dash,DASH,dash,78,334,10676331.47936148,0.0,10676331.47936148,1642.219970703125,0.21389900147914886,110.52315181108678,101.88105923660339,1,2022-04-15T16:49:00.000Z,2014-02-14T00:00:00.000Z,2022-04-16
1697,Basic Attention Token,BAT,basic-attention-token,79,300,1499204734.8773506,0.0,1500000000.0,1.920939641411345,0.06620930135250092,0.7374758889021841,0.7051630801186872,1,2022-04-15T16:49:00.000Z,2017-06-01T00:00:00.000Z,2022-04-16
8646,Mina,MINA,mina,80,59,460706923.84003925,0.0,824104972.0,9.91409787,0.92328276,2.3741093182021102,2.2689475376961483,1,2022-04-15T16:49:00.000Z,2021-03-02T00:00:00.000Z,2022-04-16
6538,Curve DAO Token,CRV,curve-dao-token,81,263,473339429.33182174,0.0,1727731088.0729425,60.4987938093,0.33159819,2.2666428992919094,2.1926576485094635,1,2022-04-15T16:49:00.000Z,2020-08-14T00:00:00.000Z,2022-04-16
5632,Arweave,AR,arweave,82,53,33394701.0,0.0,63190435.0,90.94004420870436,0.485449842644,30.69824768594995,29.87044739741233,1,2022-04-15T16:49:00.000Z,2020-05-27T00:00:00.000Z,2022-04-16
5068,Neutrino USD,USDN,neutrino-usd,83,44,998653433.446791,0.0,998654032.263271,1.204237032,0.6867237948607653,0.9885329150447517,0.979575032388725,1,2022-04-15T16:49:00.000Z,2020-01-30T00:00:00.000Z,2022-04-16
5647,Kadena,KDA,kadena,84,27,171287601.11586,171287601.11586,1000000000.0,28.246047910135935,0.12130507,5.6599233412209236,5.455075180869931,1,2022-04-15T16:49:00.000Z,2020-05-31T00:00:00.000Z,2022-04-16
5692,Compound,COMP,compound,85,257,6709239.50896878,0.0,10000000.0,911.1978339,61.2712698625,148.0135919169365,139.65850264144706,1,2022-04-15T16:49:00.000Z,2020-06-16T00:00:00.000Z,2022-04-16
6945,Amp,AMP,amp,86,76,42227702186.0,36271610691.0,99213408535.0,0.12107848,0.00079463,0.022840822199130917,0.02237939974429778,1,2022-04-15T16:49:00.000Z,2020-09-08T00:00:00.000Z,2022-04-16
3330,Pax Dollar,USDP,paxos-standard,87,44,945642940.11,0.0,945642940.11,2.0227706070856626,0.872764435084,1.004756059631083,0.9988584836480692,1,2022-04-15T16:49:00.000Z,2018-09-27T00:00:00.000Z,2022-04-16
873,NEM,XEM,nem,88,122,8999999999.0,0.0,8999999999.0,2.0918800830841064,7.9299803473987e-05,0.10105688888748111,0.09798005950913569,1,2022-04-15T16:49:00.000Z,2015-04-01T00:00:00.000Z,2022-04-16
6836,Moonbeam,GLMR,moonbeam,89,36,227380902.0,1868966.698,1008237285.0,437.0723088593228,1.8887923141327603,3.987942496180674,3.718578062286404,1,2022-04-15T16:49:00.000Z,2022-01-11T12:55:50.000Z,2022-04-16
3822,Theta Fuel,TFUEL,theta-fuel,90,37,5301214400.0,0.0,5301214400.0,0.68071584,0.000889723475662,0.1672436033921906,0.16158539276219572,1,2022-04-15T16:49:00.000Z,2019-03-28T00:00:00.000Z,2022-04-16
2682,Holo,HOT,holo,91,111,173301808097.29456,0.0,177619433541.14133,0.03156761,0.000218929983954,0.005124300226129794,0.004928798729839264,1,2022-04-15T16:49:00.000Z,2018-04-29T00:00:00.000Z,2022-04-16
7653,Oasis Network,ROSE,oasis-network,92,46,3493014306.28,0.0,10000000000.0,0.5963579420049011,0.03204935,0.23516231723792935,0.22878470852414462,1,2022-04-15T16:49:00.000Z,2020-11-12T00:00:00.000Z,2022-04-16
5604,Secret,SCRT,secret,93,34,163295557.0,167503487.0,190165060.0,10.644924210205865,0.25541604,4.998552697658084,4.893087429578488,1,2022-04-15T16:49:00.000Z,2020-05-19T00:00:00.000Z,2022-04-16
9444,Kyber Network Crystal v2,KNC,kyber-network-crystal-v2,94,125,177809349.53012875,0.0,177809349.53012875,4.8037912252689665,1.1738592845753033,4.645376979383989,4.311991596144749,1,2022-04-15T16:49:00.000Z,2021-04-26T00:00:00.000Z,2022-04-16
7455,Audius,AUDIO,audius,95,91,620805326.0,0.0,1091417308.0,4.99437346,0.07774225,1.30936045697555,1.1308978061723602,1,2022-04-15T16:49:00.000Z,2020-10-20T00:00:00.000Z,2022-04-16
1168,Decred,DCR,decred,96,56,13936910.8816918,0.0,13936910.8816918,250.01641845,0.3947960138320923,55.97394413074403,53.682443280678015,1,2022-04-15T16:49:00.000Z,2016-02-10T00:00:00.000Z,2022-04-16
4846,Kava,KAVA,kava,97,77,174402299.0,0.0,173657543.0,9.19263002,0.299966614976,4.45587106013367,4.129602329647488,1,2022-04-15T16:49:00.000Z,2019-10-25T00:00:00.000Z,2022-04-16
8857,Anchor Protocol,ANC,anchor-protocol,98,45,338249085.501386,0.0,1000000000.0,8.30877113,1.266523411296825,2.1787775680716415,2.0802187115009025,1,2022-04-15T16:49:00.000Z,2021-03-17T00:00:00.000Z,2022-04-16
2777,IoTeX,IOTX,iotex,99,85,9540779324.30788,6116124331.505642,9626124332.32,0.2610923318933593,0.00123909173461,0.0760131882081931,0.07221290638648062,1,2022-04-15T16:49:00.000Z,2018-05-25T00:00:00.000Z,2022-04-16
3801,BORA,BORA,bora,100,11,861250000.0,0.0,1205750000.0,1.6559441921288984,0.00621040183605,0.8344871150483746,0.8182683513316644,1,2022-04-15T16:49:00.000Z,2019-03-18T00:00:00.000Z,2022-04-16
