id,ts,price,vol24h,scrape_batch
4172,1649982840,82.17223312450426,1959930368.2943563,2022-04-16 01:11:33
4172,1649983140,81.6731648786848,1964653777.3712094,2022-04-16 01:11:33
4172,1649983440,81.16674052643279,1968138428.7627017,2022-04-16 01:11:33
4172,1649983740,81.12246567098562,1963593908.9166746,2022-04-16 01:11:33
4172,1649984040,81.28971558603634,1964982466.4065745,2022-04-16 01:11:33
4172,1649984340,81.27458721669657,1964086834.23202,2022-04-16 01:11:33
4172,1649984640,81.36354245537919,1960314536.1255465,2022-04-16 01:11:33
4172,1649984940,81.38017575347038,1961882446.1525707,2022-04-16 01:11:33
4172,1649985240,81.20511900045845,1964581410.5418353,2022-04-16 01:11:33
4172,1649985540,81.40237008347951,1965931559.2778468,2022-04-16 01:11:33
4172,1649985840,81.46145214920647,1964639738.0381577,2022-04-16 01:11:33
4172,1649986140,81.46796240213023,1964352559.1326401,2022-04-16 01:11:33
4172,1649986440,81.38700304994907,1954752624.1056461,2022-04-16 01:11:33
4172,1649986740,81.19243867985085,1948273966.5483537,2022-04-16 01:11:33
4172,1649987040,81.15308678925354,1941426867.9140038,2022-04-16 01:11:33
4172,1649987340,81.0279011898252,1933984689.268906,2022-04-16 01:11:33
4172,1649987640,81.1370786106025,1928952016.5690522,2022-04-16 01:11:33
4172,1649987940,81.23559495656684,1923238775.2609005,2022-04-16 01:11:33
4172,1649988240,81.26525953345319,1911905444.4137886,2022-04-16 01:11:33
4172,1649988540,81.35518998550775,1907099912.8073707,2022-04-16 01:11:33
4172,1649988840,81.34033581113296,1903909359.261156,2022-04-16 01:11:33
4172,1649989140,81.3762221295491,1899545805.4931927,2022-04-16 01:11:33
4172,1649989440,81.57334739195198,1898072798.5205543,2022-04-16 01:11:33
4172,1649989740,81.70065585705157,1897194223.6684716,2022-04-16 01:11:33
4172,1649990040,81.60024488311932,1894614007.9968781,2022-04-16 01:11:33
4172,1649990340,81.67241928962005,1894913409.4264948,2022-04-16 01:11:33
4172,1649990640,81.82273622414186,1895377313.5963094,2022-04-16 01:11:33
4172,1649990940,81.84381376516052,1894033798.176504,2022-04-16 01:11:33
4172,1649991240,81.7614707033552,1893040665.4585536,2022-04-16 01:11:33
4172,1649991540,81.77288511086982,1891893666.8840046,2022-04-16 01:11:33
4172,1649991840,81.69396443387659,1887946603.309726,2022-04-16 01:11:33
4172,1649992140,81.82619067309044,1888358784.1447167,2022-04-16 01:11:33
4172,1649992440,81.94269260674636,1888753383.137241,2022-04-16 01:11:33
4172,1649992740,81.9061016034282,1886665097.5994601,2022-04-16 01:11:33
4172,1649993040,81.90174699550757,1885353972.4396937,2022-04-16 01:11:33
4172,1649993340,82.03428714983129,1886420852.1902885,2022-04-16 01:11:33
4172,1649993640,82.18940532570196,1890942577.7131765,2022-04-16 01:11:33
4172,1649993940,82.1370835522542,1886836509.8091967,2022-04-16 01:11:33
4172,1649994240,82.09725225399899,1886529787.75191,2022-04-16 01:11:33
4172,1649994540,82.1186578704854,1886039006.9733844,2022-04-16 01:11:33
4172,1649994840,82.10895874834507,1885519840.0575967,2022-04-16 01:11:33
4172,1649995140,82.20178806661195,1881734033.6451359,2022-04-16 01:11:33
4172,1649995440,82.26139669465104,1862479240.9124172,2022-04-16 01:11:33
4172,1649995740,82.38256143723592,1863202074.8798678,2022-04-16 01:11:33
4172,1649996040,82.40303931032265,1864622345.0658376,2022-04-16 01:11:33
4172,1649996340,82.42611846063141,1865808445.0370924,2022-04-16 01:11:33
4172,1649996640,82.59559899079856,1871100682.2066138,2022-04-16 01:11:33
4172,1649996940,82.47761457518074,1870232594.8094618,2022-04-16 01:11:33
4172,1649997240,82.26504568667886,1868907644.2614353,2022-04-16 01:11:33
4172,1649997540,82.20961417655147,1868255065.258128,2022-04-16 01:11:33
4172,1649997840,82.25680669031928,1867324572.8865914,2022-04-16 01:11:33
4172,1649998140,82.13356578754122,1864583826.5441747,2022-04-16 01:11:33
4172,1649998440,82.11409431113287,1862225443.1829336,2022-04-16 01:11:33
4172,1649998740,81.74711253682146,1861236319.1165347,2022-04-16 01:11:33
4172,1649999040,82.01118611896644,1866108707.0750105,2022-04-16 01:11:33
4172,1649999340,81.79721969014415,1857644619.2977574,2022-04-16 01:11:33
4172,1649999640,81.81146081075735,1859096240.662689,2022-04-16 01:11:33
4172,1649999940,81.65440429205358,1860699032.7881677,2022-04-16 01:11:33
4172,1650000240,81.78255627880509,1863112090.9567704,2022-04-16 01:11:33
4172,1650000540,82.02573035401696,1870131899.6735735,2022-04-16 01:11:33
4172,1650000840,81.95481479154539,1869729423.5598748,2022-04-16 01:11:33
4172,1650001140,82.1365899589284,1870647646.866354,2022-04-16 01:11:33
4172,1650001440,82.11962885580591,1871178686.3866727,2022-04-16 01:11:33
4172,1650001740,81.97913662079162,1870070687.8753831,2022-04-16 01:11:33
4172,1650002040,81.9521152771298,1869050836.944112,2022-04-16 01:11:33
4172,1650002340,81.78683986702384,1868817043.3197682,2022-04-16 01:11:33
4172,1650002640,81.69842041770345,1866311077.9735782,2022-04-16 01:11:33
4172,1650002940,81.72090753828638,1864766732.4110541,2022-04-16 01:11:33
4172,1650003240,81.89218450725707,1873868245.8895164,2022-04-16 01:11:33
